epoch,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
128,0.95287,0.60334,1.0518,0.79233,0.73205,0.78333,0.47605,1.194,1.346,1.0885,2.94E-05,2.94E-05,2.94E-05
129,0.94908,0.59809,1.048,0.79207,0.73192,0.78301,0.47579,1.194,1.3453,1.0886,2.87E-05,2.87E-05,2.87E-05
130,0.94218,0.6002,1.045,0.79121,0.73236,0.78255,0.47577,1.1942,1.3416,1.0889,2.80E-05,2.80E-05,2.80E-05
131,0.94828,0.59193,1.0444,0.79164,0.73233,0.78268,0.47585,1.1946,1.3426,1.0889,2.73E-05,2.73E-05,2.73E-05
132,0.94227,0.59486,1.0451,0.7971,0.72821,0.78309,0.47532,1.1951,1.3416,1.0894,2.66E-05,2.66E-05,2.66E-05
133,0.94245,0.59547,1.0444,0.79961,0.72495,0.78308,0.47564,1.1955,1.3333,1.0903,2.59E-05,2.59E-05,2.59E-05
134,0.93071,0.59006,1.0416,0.79937,0.72442,0.78274,0.47581,1.1952,1.3274,1.0907,2.52E-05,2.52E-05,2.52E-05
135,0.9499,0.5975,1.045,0.79672,0.72706,0.78287,0.4757,1.1953,1.323,1.0913,2.45E-05,2.45E-05,2.45E-05
136,0.93069,0.58862,1.0393,0.79251,0.73246,0.78301,0.47572,1.1957,1.3147,1.0921,2.39E-05,2.39E-05,2.39E-05
137,0.93545,0.58771,1.0421,0.79147,0.734,0.78274,0.47566,1.1961,1.3124,1.0928,2.32E-05,2.32E-05,2.32E-05
138,0.9272,0.58246,1.0394,0.79067,0.73372,0.78284,0.47532,1.1963,1.307,1.0937,2.26E-05,2.26E-05,2.26E-05
139,0.91807,0.57593,1.0395,0.79006,0.73376,0.78273,0.4758,1.1967,1.2993,1.0941,2.19E-05,2.19E-05,2.19E-05
140,0.93252,0.5868,1.0371,0.78989,0.73386,0.78259,0.47574,1.1977,1.2998,1.0949,2.13E-05,2.13E-05,2.13E-05
141,0.92444,0.58248,1.0322,0.78873,0.73412,0.78239,0.47558,1.1982,1.296,1.0956,2.06E-05,2.06E-05,2.06E-05
142,0.92112,0.58008,1.0382,0.78907,0.73396,0.78188,0.47527,1.1987,1.2967,1.0963,2.00E-05,2.00E-05,2.00E-05
143,0.92009,0.57889,1.0344,0.78946,0.73322,0.78157,0.47527,1.199,1.2936,1.097,1.94E-05,1.94E-05,1.94E-05
144,0.91659,0.57825,1.0359,0.79052,0.73326,0.78126,0.47512,1.1993,1.2935,1.0977,1.87E-05,1.87E-05,1.87E-05
145,0.91882,0.57877,1.0338,0.79285,0.73165,0.78138,0.47529,1.2001,1.2883,1.0987,1.81E-05,1.81E-05,1.81E-05
146,0.91765,0.57613,1.0315,0.79252,0.73125,0.78137,0.47518,1.2005,1.2851,1.0992,1.75E-05,1.75E-05,1.75E-05
147,0.90726,0.56861,1.031,0.79143,0.7301,0.78095,0.47461,1.2009,1.2848,1.0994,1.69E-05,1.69E-05,1.69E-05
148,0.91894,0.57168,1.0349,0.79003,0.73077,0.78105,0.47487,1.2019,1.2806,1.1001,1.64E-05,1.64E-05,1.64E-05
